INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (724, 515)) + Blob of color:(0, 0, 255), size: 7, location at: (715, 505))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (722, 510)) + Blob of color:(0, 0, 255), size: 7, location at: (718, 509))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (718, 509)) + Blob of color:(0, 0, 255), size: 7, location at: (722, 510))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (715, 503)) + Blob of color:(0, 0, 255), size: 7, location at: (715, 512))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (715, 512)) + Blob of color:(0, 0, 255), size: 7, location at: (715, 503))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (711, 505)) + Blob of color:(0, 0, 255), size: 7, location at: (711, 513))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (711, 513)) + Blob of color:(0, 0, 255), size: 7, location at: (711, 505))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (705, 501)) + Blob of color:(0, 0, 255), size: 7, location at: (711, 510))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (711, 510)) + Blob of color:(0, 0, 255), size: 7, location at: (705, 501))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (707, 503)) + Blob of color:(0, 0, 255), size: 7, location at: (713, 514))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (713, 514)) + Blob of color:(0, 0, 255), size: 7, location at: (707, 503))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (700, 506)) + Blob of color:(0, 0, 255), size: 7, location at: (706, 512))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (706, 512)) + Blob of color:(0, 0, 255), size: 7, location at: (700, 506))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (699, 503)) + Blob of color:(0, 0, 255), size: 7, location at: (712, 507))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (712, 507)) + Blob of color:(0, 0, 255), size: 7, location at: (699, 503))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (703, 501)) + Blob of color:(0, 0, 255), size: 7, location at: (713, 496))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (713, 496)) + Blob of color:(0, 0, 255), size: 7, location at: (703, 501))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (702, 503)) + Blob of color:(0, 0, 255), size: 7, location at: (711, 493))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location at: (711, 493)) + Blob of color:(0, 0, 255), size: 7, location at: (702, 503))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 4, location at: (276, 115)) + Blob of color:(0, 0, 255), size: 5, location at: (279, 111))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (279, 111)) + Blob of color:(0, 0, 255), size: 4, location at: (276, 115))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 4, location at: (279, 110)) + Blob of color:(0, 0, 255), size: 5, location at: (276, 108))
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location at: (276, 108)) + Blob of color:(0, 0, 255), size: 4, location at: (279, 110))
